,Product,Model,RMSE
0,USB-C Charging Cable,"SARIMAX(0,0,1,12)",146.10584568281413
1,Bose SoundSport Headphones,"SARIMAX(1,0,1,12)",63.30839697575896
2,Google Phone,"SARIMAX(1,1,0,12)",24.355332876551763
3,Wired Headphones,"SARIMAX(1,0,0,12)",93.85197842319835
4,Macbook Pro Laptop,PROPHET,42.45225823658439
5,Lightning Charging Cable,"SARIMAX(1,0,0,12)",122.02434803627568
6,27in 4K Gaming Monitor,"SARIMAX(0,0,0,12)",36.91688511910964
7,AA Batteries (4-pack),"SARIMAX(0,0,1,12)",183.60906266815817
8,Apple Airpods Headphones,"SARIMAX(0,0,0,12)",75.06273614993738
9,AAA Batteries (4-pack),"SARIMAX(0,0,0,12)",156.09322600447183
10,iPhone,"SARIMAX(1,0,0,12)",38.25515244697141
11,Flatscreen TV,"SARIMAX(0,0,1,12)",24.815745869071122
12,27in FHD Monitor,"SARIMAX(1,0,0,12)",35.86886792502047
13,20in Monitor,"SARIMAX(1,0,1,12)",26.812969201485547
14,LG Dryer,PROPHET,5.335908246155911
15,ThinkPad Laptop,"SARIMAX(0,0,1,12)",16.540916797367803
16,Vareebadd Phone,"ARIMA(1,0,0)",16.05348329218982
17,LG Washing Machine,PROPHET,3.943949286722905
18,34in Ultrawide Monitor,"SARIMAX(0,0,0,12)",51.01059781669924
